Артикул,Название товара,Ссылка,Цена,Цена со скидкой,Бренд
132386,"Сыр творожный Виолетта ароматная зелень 70%, 140г",https://online.metro-cc.ru/products/syr-tvorozhnyy-70-violetta-zelen-140g-bzmzh,122,109,ВИОЛЕТТА
116704,"METRO Chef Сыр для пиццы Моцарелла 45%, 370г",https://online.metro-cc.ru/products/dlya-piccy-mocarella-metro-chef-45-370g-bzmzh,419,0,METRO CHEF
396021,"Сыр творожный Almette с томатами по-итальянски 57%, 150г",https://online.metro-cc.ru/products/almette-s-tomatami-po-italyanski-150g-bzmzh,164,0,ALMETTE
118143,"Сыр Умалат Кавказский мягкий 45%, 370г",https://online.metro-cc.ru/products/370g-45-kavkazskij-umalat-bzmzh,449,349,УМАЛАТ
101397,"Сыр Le Superbe Swisshard твердый 47%, 200г",https://online.metro-cc.ru/products/swisshard-le-superbe-200g-bzmzh,799,679,LE SUPERBE
119943,"METRO Chef Сыр овечий 45%, 175г",https://online.metro-cc.ru/products/metro-chef-kusok-45-175-g-bzmzh,559,0,METRO CHEF
327962,"Сыр Ламбер Тильзитер полутвердый нарезка 45%, 150г",https://online.metro-cc.ru/products/tilziter-narezka-lamber-150g-bzmzh,248,0,ЛАМБЕР
604286,"METRO Chef Сыр Пармезан тертый хлопья 32%, 500г",https://online.metro-cc.ru/products/hlopya-parmezana-metro-chef-32-500-g-bzmzh,1249,0,METRO CHEF
663836,"Сыр творожный President Козий Chevre 65%, 140г",https://online.metro-cc.ru/products/kozij-president-140g-bzmzh,369,0,PRESIDENT
591769,"Сыр Le Superbe Diabolo Gourmet твердый 50%, ~1.2кг",https://online.metro-cc.ru/products/lustenberger-diabolo-gourmet-50-12kg-bzmzh,5278.8,3958.8,LE SUPERBE
43832,"Сыр Киприно Три сыра полутвердый тертый 45%, 200г",https://online.metro-cc.ru/products/tertyj-kiprino-tri-200g-bzmzh,255,0,КИПРИНО
94131,"METRO Chef Сыр Гойя твердый 40%, ~3кг",https://online.metro-cc.ru/products/art-94131,3807,0,METRO CHEF
129715,"Сыр Whitecheese from Zhukovka Бри 60%, 125г",https://online.metro-cc.ru/products/125g-bri-60-zhukovka-bzmzh,278,0,WHITECHEESE FROM ZHUKOVKA
254050,"Сыр плавленый President сливочный, 400г",https://online.metro-cc.ru/products/president-slivochnyj-400-g-bzmzh,339,279,PRESIDENT
471248,"Сыр President Чечил белый соломка 35%, 150г",https://online.metro-cc.ru/products/chechil-president-belyj-solomka-40-100g-bzmzh,262,0,PRESIDENT
632087,"Сыр Cheese Gallery Пармезан тертый хлопья 32%, 100г",https://online.metro-cc.ru/products/cheese-gallery-parmesan-flakes-100g,261,0,CHEESE GALLERY
119944,"METRO Chef Сыр козий 50%, 175г",https://online.metro-cc.ru/products/metro-chef-50-kusok-175-g-bzmzh,499,0,METRO CHEF
125539,"Сыр Эконива Durr Classic 6 месяцев выдержки твердый 50%, ~0.9кг",https://online.metro-cc.ru/products/50-dyurr-ekoniva-bzmzh-1-8kg,1601.1,1502.1,ЭКОНИВА
254892,"Сыр Ларец с грецкими орехами нарезка 45%, 125г",https://online.metro-cc.ru/products/125g-syr-45-larets-s-gretskimi-orehami-narezka-bzmzh,229,0,ЛАРЕЦ
32417,"Сырная тарелка Say Cheese №7, 185г",https://online.metro-cc.ru/products/saycheese-tarelka-7-185g-bzmzh,619,0,SAY CHEESE
118518,"Сыр Schonfeld Тильзитер полутвердый нарезка 45%, 125г",https://online.metro-cc.ru/products/125g-45-tilziter-schonfeld-bzmzh,187,0,SCHONFELD
227428,"METRO Chef Сыр гауда 45%, 200г",https://online.metro-cc.ru/products/200g-syr-gauda-45-metro-chef-kusok-bzmzh,185,0,METRO CHEF
270695,"Сыр Le Superbe Чеддер кусковой 50%, 150г",https://online.metro-cc.ru/products/150g-syr-chedder-50-le-superbe-kus-bzmzh,449,419,LE SUPERBE
136096,"Сыр Laime Пармезан твердый 40%, 185г",https://online.metro-cc.ru/products/185g-syr-parmezan-laime-40-bzmzh,409,0,LAIME
276138,"Сыр Galbani Моцарелла Maxi рассольный 45%, 250г",https://online.metro-cc.ru/products/mocarella-galbani-maxi-250-g-bzmzh,369,0,GALBANI
242594,"Сыр Palermo твердый 40%, ~3кг",https://online.metro-cc.ru/products/syr-palermo-tverdyy-40-3kg,3957,0,PALERMO
226062,"Сыр Савушкин продукт Sveza Фета Нежная мягкий 45%, 250г",https://online.metro-cc.ru/products/250g-feta-nezhnaya-sveza-45-savushkin-produkt-bzmzh,183,0,САВУШКИН ПРОДУКТ
217688,"Сыр Боровский сыр чечил 45%, 130г",https://online.metro-cc.ru/products/130g-syr-chechil-45-borovskiy-bzmzh,249,0,БОРОВСКИЙ СЫР
247655,"Сыр Радость вкуса легкий полутвердый 35%, 180г",https://online.metro-cc.ru/products/180g-syr-legkiy-35-radost-vkusa-bzmzh,222,189,РАДОСТЬ ВКУСА
621730,"METRO Chef Сыр Эдам 40%, ~2.5кг",https://online.metro-cc.ru/products/edam-40-metro-chef-vesovoj,2072.5,0,METRO CHEF
218916,"Сыр Hochland Грюнландер легкий полутвердый 35%, 400г",https://online.metro-cc.ru/products/400g-syr-gryunlander-35-hochland-legkiy-bzmzh,479,0,HOCHLAND
94129,"METRO Chef Сыр с голубой плесенью 60%, ~1.3кг",https://online.metro-cc.ru/products/art-94129,2299.7,0,METRO CHEF
626302,"Сыр Pretto Маскарпоне мягкий 80%, 250г",https://online.metro-cc.ru/products/myagkij-maskarpone-pretto-80-250-g,296,0,PRETTO
585074,"Сыр плавленый Карат с кусочками лесных грибов, 400г",https://online.metro-cc.ru/products/karat-s-gribami-400-g-bzmzh,274,0,КАРАТ
359435,"Сыр President Брынза 45%, 250г",https://online.metro-cc.ru/products/president-48-250g-bzmzh,271,219,PRESIDENT
208841,"Сыр Unagrande моцарелла чильеджина 45%, 125г",https://online.metro-cc.ru/products/125g-syr-motsarella-45-unagrande-chiledzhina-bzmzh,177,154,UNAGRANDE
225276,"Сыр творожный President сливочный 56%, 140г",https://online.metro-cc.ru/products/140g-syr-tvorozhnyy-56-president-slivochnyy-bzmzh,142,0,PRESIDENT
